backend,concurrency,payload_bytes,rest_p99_ms,rest_p99_ci95,grpc_p99_ms,grpc_p99_ci95,grpc_improvement_pct,mannwhitney_p,ci_verdict
mongo,10,100,42.2284,6.2741,31.7152,4.5455,24.8961,0.0000,CIs overlap
mongo,10,1000,49.4641,19.8640,29.4480,0.8329,40.4660,0.0000,CIs overlap
mongo,10,10000,47.8485,18.5701,39.5906,13.7157,17.2584,0.0000,CIs overlap
mongo,50,100,1042.1695,183.8311,114.8018,21.4757,88.9843,0.0000,grpc faster (CIs disjoint)
mongo,50,1000,1044.6207,130.5839,163.2627,84.0216,84.3711,0.0000,grpc faster (CIs disjoint)
mongo,50,10000,1019.8719,134.1594,140.2270,39.9721,86.2505,0.0000,grpc faster (CIs disjoint)
mongo,100,100,2332.9802,749.8696,209.6808,18.0743,91.0123,0.0000,grpc faster (CIs disjoint)
mongo,100,1000,2150.5631,547.2809,222.4555,37.4615,89.6559,0.0000,grpc faster (CIs disjoint)
mongo,100,10000,1965.5158,517.1783,367.7782,405.7275,81.2885,0.0000,grpc faster (CIs disjoint)
postgres,10,100,54.6424,13.1516,20.5166,10.7991,62.4530,0.0000,grpc faster (CIs disjoint)
postgres,10,1000,54.3127,7.5189,16.1918,1.4302,70.1879,0.0000,grpc faster (CIs disjoint)
postgres,10,10000,55.9541,25.7947,29.2120,5.5084,47.7929,0.0000,CIs overlap
postgres,50,100,891.4352,113.8410,79.6087,31.9247,91.0696,0.0000,grpc faster (CIs disjoint)
postgres,50,1000,885.7651,162.0566,82.8102,35.3475,90.6510,0.0000,grpc faster (CIs disjoint)
postgres,50,10000,938.3744,184.8773,108.1068,23.9395,88.4794,0.0000,grpc faster (CIs disjoint)
postgres,100,100,1852.1265,726.3591,140.9654,24.4906,92.3890,0.0000,grpc faster (CIs disjoint)
postgres,100,1000,1705.2741,713.6172,158.8913,68.4724,90.6824,0.0000,grpc faster (CIs disjoint)
postgres,100,10000,2547.2972,489.3705,204.2062,44.8109,91.9834,0.0000,grpc faster (CIs disjoint)
redis,10,100,68.7974,12.9761,16.9685,7.1674,75.3356,0.0000,grpc faster (CIs disjoint)
redis,10,1000,72.8248,18.9207,16.0710,6.0681,77.9319,0.0000,grpc faster (CIs disjoint)
redis,10,10000,76.9426,17.4743,21.2301,5.7048,72.4079,0.0000,grpc faster (CIs disjoint)
redis,50,100,821.8758,215.0566,85.5603,39.1980,89.5896,0.0000,grpc faster (CIs disjoint)
redis,50,1000,781.2938,187.6376,72.2571,27.6341,90.7516,0.0000,grpc faster (CIs disjoint)
redis,50,10000,794.0233,220.6296,4354.2744,—,-448.3812,0.0000,n/a (single trial)
redis,100,100,2014.7818,459.7243,144.4544,51.4424,92.8303,0.0000,grpc faster (CIs disjoint)
redis,100,1000,1987.8932,467.0369,143.4670,63.1798,92.7830,0.0000,grpc faster (CIs disjoint)
