suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,postgres,10,100,5,107741,0,1435.75,446.26,7.52,3.48,6.21,1.24,14.76,11.51,20.87,15.01,12.09,57.9
grpc,postgres,10,1000,5,67612,0,899.75,252.61,11.64,3.70,8.95,2.65,26.13,8.96,42.86,20.98,16.89,39.4
grpc,postgres,10,10000,5,53722,0,715.79,205.24,14.73,5.28,11.94,4.87,32.80,10.85,54.66,18.25,14.70,26.9
grpc,postgres,50,100,5,107464,0,1430.22,191.77,35.24,4.98,31.12,2.94,57.59,12.31,115.07,118.18,95.18,82.7
grpc,postgres,50,1000,5,79377,0,1055.36,202.30,48.17,9.70,39.45,4.87,102.34,46.89,160.37,105.57,85.02,53.0
grpc,postgres,50,10000,5,75406,0,1001.89,92.89,49.98,4.77,45.26,3.46,83.20,17.33,111.27,33.30,26.82,24.1
grpc,postgres,100,100,5,85579,0,1136.54,218.85,88.94,14.38,73.67,9.33,177.46,57.65,285.08,126.96,102.25,35.9
grpc,postgres,100,1000,5,77402,0,1024.77,136.92,97.60,13.33,84.74,8.53,176.97,63.88,321.83,275.91,222.21,69.0
grpc,postgres,100,10000,5,76596,0,1015.93,190.64,99.80,20.40,92.66,22.98,156.59,22.64,225.84,93.08,74.97,33.2
rest,postgres,10,100,5,24224,0,322.04,64.60,31.60,6.21,31.28,13.69,65.01,13.78,80.03,35.03,28.21,35.3
rest,postgres,10,1000,5,24222,0,321.93,23.47,31.05,2.27,45.06,1.05,62.03,7.99,74.04,12.65,10.19,13.8
rest,postgres,10,10000,5,21947,0,291.64,35.68,34.44,4.48,47.30,2.42,67.84,10.60,89.28,21.31,17.16,19.2
rest,postgres,50,100,5,11928,0,156.04,23.02,315.21,41.66,200.20,32.62,978.94,121.40,1521.51,202.69,163.24,10.7
rest,postgres,50,1000,5,11910,1,155.92,17.60,312.37,35.07,194.64,28.66,992.65,114.11,1551.33,217.16,174.90,11.3
rest,postgres,50,10000,5,10796,0,142.01,49.69,365.00,140.43,216.80,95.88,1177.07,455.28,1904.64,870.53,701.10,36.8
rest,postgres,100,100,5,11150,0,143.47,17.88,641.38,53.56,421.65,33.08,1990.04,220.02,3301.63,523.65,421.73,12.8
rest,postgres,100,1000,5,10945,0,140.61,43.50,692.25,218.75,445.51,132.92,2264.99,879.38,3613.93,1584.18,1275.85,35.3
rest,postgres,100,10000,5,12494,0,161.89,37.97,586.46,118.43,389.34,80.23,1821.82,382.73,2777.49,519.92,418.73,15.1
