timestamp,label,container,cpu_percent,mem_usage,mem_percent,net_io,block_io
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-grpc-redis-1,0.07%,27.17MiB / 7.606GiB,0.35%,4.49kB / 3.93kB,0B / 0B
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-rest-redis-1,0.11%,44.11MiB / 7.606GiB,0.57%,4.26kB / 13.9kB,0B / 0B
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-grpc-mongo-1,0.20%,29.41MiB / 7.606GiB,0.38%,6.75kB / 5.98kB,0B / 0B
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-grafana-1,0.03%,54.15MiB / 7.606GiB,0.70%,21.6kB / 3.57kB,1.26MB / 22.8MB
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-rest-mongo-1,0.51%,47.79MiB / 7.606GiB,0.61%,6.82kB / 23.8kB,0B / 0B
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-grpc-postgres-1,0.07%,25.44MiB / 7.606GiB,0.33%,6.62kB / 5.6kB,0B / 0B
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-rest-postgres-1,17.72%,44.2MiB / 7.606GiB,0.57%,174kB / 181kB,0B / 0B
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-prometheus-1,0.24%,24.57MiB / 7.606GiB,0.32%,59.8kB / 9.53kB,0B / 32.8kB
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-postgres-1,8.61%,55.19MiB / 7.606GiB,0.71%,89.6kB / 85.8kB,0B / 53.6MB
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-redis-1,0.45%,3.391MiB / 7.606GiB,0.04%,4.92kB / 938B,0B / 0B
2026-07-19T15:40:20,rest-postgres_c10_p100_t1,infrastructure-mongo-1,0.46%,73.5MiB / 7.606GiB,0.94%,9.05kB / 5.58kB,0B / 254kB
2026-07-19T15:40:22,rest-postgres_c10_p100_t1,infrastructure-grpc-redis-1,0.02%,27.17MiB / 7.606GiB,0.35%,5.38kB / 5.4kB,0B / 0B
